SKU_ID,Product_Name,Brand,Manufacturer,Ownership,Category,Sub_Category,Segment,Attribute_Claim,Pack_Size_ml,Price_Band,Supplier,List_Price_USD,Unit_Cost_USD,Margin_Pct,Case_Pack,Launch_Date,Status,Hair_Type,Gender,Age_Group,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Sulphate_Free_Flag,Paraben_Free_Flag,Organic_Flag,Dandruff_Flag,Hair_Fall_Flag,Color_Protection_Flag
NEW_SKU0001,EarthTress Color Protection Argan Oil Shampoo 300ml,EarthTress,TerraChem,Own,Hair Care,Shampoo,Economy,Color Protection,300,Economy,AuroraMfg,9.23,6.5,29.58,6,1/19/2027,New,Fine,Women,Adult,Argan Oil,Aloe Vera,Biotin,Caffeine,Yes,Yes,No,No,No,Yes
NEW_SKU0002,EarthTress Color Protection Rosemary Shampoo 400ml,EarthTress,VertexFMCG,Own,Hair Care,Shampoo,Economy,Color Protection,400,Economy,TerraChem,7.29,5.04,30.86,6,1/11/2027,New,Thick,Women,Senior,Rosemary,Tea Tree,Biotin,Collagen,Yes,No,No,No,No,Yes
NEW_SKU0003,EarthTress Biotin Rosemary Shampoo 650ml,EarthTress,VertexFMCG,Own,Hair Care,Shampoo,Mainstream,Biotin,650,Mainstream,NimbusLabs,15.05,11.13,26.05,6,10/26/2026,New,Curly,Women,Senior,Rosemary,Argan Oil,Biotin,Caffeine,Yes,Yes,No,No,No,No
NEW_SKU0004,Revynce Color Protection Rosemary Shampoo 500ml,Revynce,TerraChem,Own,Hair Care,Shampoo,Economy,Color Protection,500,Economy,VertexFMCG,11.79,7.62,35.37,6,12/24/2026,New,Curly,Women,Senior,Rosemary,Aloe Vera,Argan Oil,Keratin,Yes,Yes,Yes,No,No,Yes
NEW_SKU0005,EarthTress Sulphate Free Collagen Hair Color 300ml,EarthTress,PinnacleCo,Own,Hair Care,Hair Color,Premium,Sulphate Free,300,Premium,PinnacleCo,34.54,25.57,25.97,12,9/3/2026,New,Coily,Men,Senior,Collagen,Keratin,Biotin,Aloe Vera,Yes,No,Yes,No,No,No
NEW_SKU0006,EarthTress Sulphate Free Caffeine Hair Color 500ml,EarthTress,VertexFMCG,Own,Hair Care,Hair Color,Premium,Sulphate Free,500,Premium,TerraChem,30.68,23.58,23.14,12,5/30/2027,New,Coily,Men,Adult,Caffeine,Rosemary,Tea Tree,Aloe Vera,Yes,No,No,No,No,No
NEW_SKU0007,EarthTress Argan Oil Collagen Hair Color 250ml,EarthTress,TerraChem,Own,Hair Care,Hair Color,Mainstream,Argan Oil,250,Mainstream,NimbusLabs,26.39,19.27,26.98,12,11/11/2026,New,Coily,Men,Senior,Collagen,Rosemary,Biotin,Tea Tree,No,Yes,No,No,No,No
NEW_SKU0008,Lustra Botanix Sulphate Free Collagen Hair Color 400ml,Lustra Botanix,TerraChem,Own,Hair Care,Hair Color,Premium,Sulphate Free,400,Premium,TerraChem,41.59,27.56,33.73,12,1/7/2027,New,Coily,Men,Adult,Collagen,Rosemary,Caffeine,Aloe Vera,Yes,No,No,No,No,No
NEW_SKU0009,VitalStrand Anti Hair Fall Keratin Hair Color 300ml,VitalStrand,TerraChem,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,300,Mainstream,VertexFMCG,20.45,15.21,25.62,12,6/13/2027,New,Coily,Unisex,Adult,Keratin,Argan Oil,Tea Tree,Rosemary,Yes,No,No,No,Yes,No
NEW_SKU0010,VitalStrand Anti Hair Fall Argan Oil Hair Color 150ml,VitalStrand,NimbusLabs,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,150,Mainstream,NimbusLabs,19.42,13.71,29.4,24,2/19/2027,New,Straight,Unisex,Adult,Argan Oil,Biotin,Tea Tree,Aloe Vera,No,Yes,No,No,Yes,No
NEW_SKU0011,VitalStrand Anti Hair Fall Keratin Hair Color 650ml,VitalStrand,VertexFMCG,Competitor,Hair Care,Hair Color,Economy,Anti Hair Fall,650,Economy,VertexFMCG,14.38,9.24,35.74,12,5/22/2027,New,Straight,Unisex,Adult,Keratin,Argan Oil,Rosemary,Aloe Vera,Yes,Yes,No,No,Yes,No
NEW_SKU0012,PureMane Anti Hair Fall Keratin Hair Color 500ml,PureMane,VertexFMCG,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,500,Mainstream,VertexFMCG,20.18,12.87,36.22,12,5/3/2027,New,Straight,Unisex,Adult,Keratin,Argan Oil,Tea Tree,Rosemary,Yes,Yes,No,No,Yes,No
NEW_SKU0013,PureMane Anti Hair Fall Collagen Treatment 250ml,PureMane,PinnacleCo,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,250,Economy,NimbusLabs,8.47,6.1,27.98,18,3/8/2027,New,Wavy,Men,Teen,Collagen,Aloe Vera,Argan Oil,Tea Tree,Yes,No,No,No,Yes,No
