SKU_ID,Product_Name,Brand,Manufacturer,Ownership,Category,Sub_Category,Segment,Attribute_Claim,Pack_Size_ml,Price_Band,Supplier,List_Price_USD,Unit_Cost_USD,Margin_Pct,Case_Pack,Launch_Date,Status,Hair_Type,Gender,Age_Group,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Sulphate_Free_Flag,Paraben_Free_Flag,Organic_Flag,Dandruff_Flag,Hair_Fall_Flag,Color_Protection_Flag
SKU0001,EarthTress Color Protection Shampoo 250ml,EarthTress,NimbusLabs,Own,Hair Care,Shampoo,Economy,Color Protection,250,Economy,NimbusLabs,11.99,8.15,32.03,6,2/4/2025,Watch,Curly,Women,Senior,Rosemary,Aloe Vera,Biotin,Caffeine,Yes,Yes,Yes,No,No,Yes
SKU0002,EarthTress Sulphate Free Hair Color 100ml,EarthTress,AuroraMfg,Own,Hair Care,Hair Color,Premium,Sulphate Free,100,Premium,AuroraMfg,37.29,23.12,38.0,12,5/2/2022,Active,Coily,Men,Senior,Collagen,Rosemary,Biotin,Aloe Vera,Yes,Yes,Yes,No,No,No
SKU0003,VitalStrand Anti Hair Fall Hair Color 250ml,VitalStrand,VertexFMCG,Competitor,Hair Care,Hair Color,Mainstream,Anti Hair Fall,250,Mainstream,PinnacleCo,15.46,11.13,28.01,12,3/29/2022,Delist Candidate,Straight,Unisex,Adult,Keratin,Argan Oil,Tea Tree,Aloe Vera,No,Yes,Yes,No,Yes,No
SKU0004,PureMane Anti Hair Fall Treatment 200ml,PureMane,PinnacleCo,Competitor,Hair Care,Treatment,Economy,Anti Hair Fall,200,Economy,TerraChem,14.67,11.0,25.02,18,5/11/2022,Active,Wavy,Men,Senior,Rosemary,Aloe Vera,Argan Oil,Tea Tree,Yes,Yes,Yes,No,Yes,No
SKU0005,Lustra Botanix Herbal Treatment 150ml,Lustra Botanix,AuroraMfg,Own,Hair Care,Treatment,Economy,Herbal,150,Economy,PinnacleCo,8.41,6.81,19.02,6,12/10/2022,Active,Curly,Women,Adult,Tea Tree,Aloe Vera,Collagen,Keratin,Yes,Yes,Yes,No,No,No
SKU0006,GlossRoot Color Protection Hair Color 100ml,GlossRoot,PinnacleCo,Competitor,Hair Care,Hair Color,Premium,Color Protection,100,Premium,VertexFMCG,39.14,30.14,22.99,6,1/21/2023,Delist Candidate,Wavy,Men,Senior,Keratin,Biotin,Collagen,Argan Oil,Yes,Yes,No,No,No,Yes
SKU0007,EarthTress Color Protection Hair Color 400ml,EarthTress,VertexFMCG,Own,Hair Care,Hair Color,Mainstream,Color Protection,400,Mainstream,NimbusLabs,16.36,10.14,38.02,6,3/30/2025,Active,Straight,Unisex,Adult,Argan Oil,Biotin,Tea Tree,Aloe Vera,No,Yes,No,No,No,Yes
SKU0008,Lustra Botanix Color Protection Treatment 150ml,Lustra Botanix,NimbusLabs,Own,Hair Care,Treatment,Economy,Color Protection,150,Economy,AuroraMfg,14.08,8.59,38.99,24,9/10/2022,Active,Straight,Unisex,Senior,Tea Tree,Keratin,Collagen,Caffeine,Yes,Yes,Yes,No,No,Yes
SKU0009,SilkenAura Herbal Hair Mask 200ml,SilkenAura,TerraChem,Competitor,Hair Care,Hair Mask,Mainstream,Herbal,200,Mainstream,TerraChem,22.39,14.78,33.99,12,4/20/2023,Active,Straight,Men,Senior,Tea Tree,Argan Oil,Caffeine,Aloe Vera,Yes,No,Yes,No,No,No
SKU0010,EarthTress Argan Oil Hair Color 200ml,EarthTress,VertexFMCG,Own,Hair Care,Hair Color,Premium,Argan Oil,200,Premium,NimbusLabs,31.41,22.93,27.0,12,12/1/2023,Delist Candidate,Straight,Unisex,Senior,Argan Oil,Biotin,Aloe Vera,Rosemary,Yes,Yes,No,No,No,No
SKU0011,NourishLab Argan Oil Hair Oil 250ml,NourishLab,TerraChem,Competitor,Hair Care,Hair Oil,Mainstream,Argan Oil,250,Mainstream,AuroraMfg,16.06,10.92,32.0,12,8/15/2024,Active,Fine,Unisex,Adult,Tea Tree,Biotin,Caffeine,Keratin,No,No,Yes,No,No,No
SKU0012,GlossRoot Color Protection Hair Serum 150ml,GlossRoot,NimbusLabs,Competitor,Hair Care,Hair Serum,Mainstream,Color Protection,150,Mainstream,VertexFMCG,17.19,10.31,40.02,18,6/21/2025,Active,Thick,Unisex,Senior,Argan Oil,Aloe Vera,Caffeine,Collagen,No,No,No,No,No,Yes
SKU0013,SilkenAura Argan Oil Hair Serum 650ml,SilkenAura,NimbusLabs,Competitor,Hair Care,Hair Serum,Mainstream,Argan Oil,650,Mainstream,TerraChem,27.4,21.92,20.0,12,10/9/2023,Active,Fine,Unisex,Teen,Argan Oil,Caffeine,Collagen,Rosemary,No,No,No,No,No,No
SKU0014,VitalStrand Color Protection Hair Color 500ml,VitalStrand,VertexFMCG,Competitor,Hair Care,Hair Color,Mainstream,Color Protection,500,Mainstream,PinnacleCo,15.97,12.14,23.98,18,7/21/2025,Active,Straight,Men,Senior,Keratin,Aloe Vera,Biotin,Tea Tree,Yes,Yes,No,No,No,Yes
SKU0015,Velinea Keratin Hair Color 150ml,Velinea,AuroraMfg,Own,Hair Care,Hair Color,Premium,Keratin,150,Premium,AuroraMfg,43.21,29.81,31.01,12,8/30/2022,Active,Straight,Women,Senior,Biotin,Caffeine,Rosemary,Tea Tree,No,Yes,No,No,No,No
SKU0016,NourishLab Anti Dandruff Hair Color 500ml,NourishLab,PinnacleCo,Competitor,Hair Care,Hair Color,Mainstream,Anti Dandruff,500,Mainstream,VertexFMCG,23.49,13.39,43.0,24,7/19/2023,Watch,Coily,Men,Adult,Collagen,Aloe Vera,Keratin,Argan Oil,Yes,No,No,Yes,No,No
