SKU_ID,Category,Sub_Category,Segment,Attribute_Claim,Pack_Size_ml,Price_Band,List_Price_USD,Unit_Cost_USD,Hair_Type,Gender,Age_Group,Ingredient_1,Ingredient_2,Ingredient_3,Ingredient_4,Sulphate_Free_Flag,Paraben_Free_Flag,Organic_Flag,Dandruff_Flag,Hair_Fall_Flag,Color_Protection_Flag
SKU0001,Hair Care,Shampoo,Economy,Color Protection,250,Economy,11.99,8.15,Curly,Women,Senior,Rosemary,Aloe Vera,Biotin,Caffeine,Yes,Yes,Yes,No,No,Yes
SKU0002,Hair Care,Hair Color,Premium,Sulphate Free,100,Premium,37.29,23.12,Coily,Men,Senior,Collagen,Rosemary,Biotin,Aloe Vera,Yes,Yes,Yes,No,No,No
SKU0003,Hair Care,Hair Color,Mainstream,Anti Hair Fall,250,Mainstream,15.46,11.13,Straight,Unisex,Adult,Keratin,Argan Oil,Tea Tree,Aloe Vera,No,Yes,Yes,No,Yes,No
SKU0004,Hair Care,Anti-Dandruff Treatment,Economy,Anti Hair Fall,200,Economy,14.67,11,Wavy,Men,Senior,Rosemary,Aloe Vera,Argan Oil,Tea Tree,Yes,Yes,Yes,No,Yes,No
SKU0005,Hair Care,Anti-Dandruff Treatment,Economy,Herbal,150,Economy,8.41,6.81,Curly,Women,Adult,Tea Tree,Aloe Vera,Collagen,Keratin,Yes,Yes,Yes,No,No,No
SKU0006,Hair Care,Hair Color,Premium,Color Protection,100,Premium,39.14,30.14,Wavy,Men,Senior,Keratin,Biotin,Collagen,Argan Oil,Yes,Yes,No,No,No,Yes
SKU0007,Hair Care,Hair Color,Mainstream,Color Protection,400,Mainstream,16.36,10.14,Straight,Unisex,Adult,Argan Oil,Biotin,Tea Tree,Aloe Vera,No,Yes,No,No,No,Yes
SKU0008,Hair Care,Anti-Dandruff Treatment,Economy,Color Protection,150,Economy,14.08,8.59,Straight,Unisex,Senior,Tea Tree,Keratin,Collagen,Caffeine,Yes,Yes,Yes,No,No,Yes
SKU0009,Hair Care,Hair Mask,Mainstream,Herbal,200,Mainstream,22.39,14.78,Straight,Men,Senior,Tea Tree,Argan Oil,Caffeine,Aloe Vera,Yes,No,Yes,No,No,No
SKU0010,Hair Care,Hair Color,Premium,Argan Oil,200,Premium,31.41,22.93,Straight,Unisex,Senior,Argan Oil,Biotin,Aloe Vera,Rosemary,Yes,Yes,No,No,No,No
SKU0011,Hair Care,Hair Oil,Mainstream,Argan Oil,250,Mainstream,16.06,10.92,Fine,Unisex,Adult,Tea Tree,Biotin,Caffeine,Keratin,No,No,Yes,No,No,No
